On-Time Staus of Flight,DESTMARK,DESTGEO,TERM,STRATA,ATYPE,AIRLINE,DEST,GATE,INTDATE,Q1,Q1A,Q1MIL,DEPTIME,PASSTIME,PASSMIN,Q2_1,Q3_1,Q4A,Q4B,Q4C,Q5,Q6,Q7,SAQ,Q8A,Q8B,Q8C,Q8D,Q8E,Q8F,Q8G,Q8H,Q8I,Q8J,Q8K,Q8L,Q8M,Q8N,Q10A,Q10B,Q10C,Q10D,Q10E,Q10F,Q11,Q12,Q13,Q13A1,Q13A2,Q13A3,Q14,Q15A,Q15B,Q16,Q17,Q18STATE,Q18ZIP,Q18COUNTRY,HOME,Q19,Q20,Q21,MAIL,LANG
1,3,2,3,2,1,11,NEWARK,89,2,64500,1,6:45,11:05,4:20,260,3,4,1,2,1,1,0,4,1,5,5,5,5,5,5,3,3,4,6,6,6,6,5,4,6,6,6,4,4,5,2,,,,,5,5,4,2,1,CA,94110,US,1,5,2,0,1,1
1,3,2,3,2,1,11,NEWARK,89,2,90000,1,9:00,11:05,2:05,125,3,6,1,2,1,1,0,2,1,5,5,3,5,5,5,0,0,6,6,6,6,6,4,4,6,6,6,4,4,5,2,,,,,1,5,5,2,3,CT,6801,US,12,7,2,0,1,1
1,3,2,3,2,1,11,NEWARK,89,2,90000,1,9:00,11:05,2:05,125,1,9,2,2,2,2,2,1,1,5,6,6,5,4,4,6,6,3,6,5,6,0,4,4,6,4,4,6,4,4,2,,,,,24,5,4,2,3,VT,5401,US,12,5,1,2,1,1
1,3,2,3,2,1,11,NEWARK,89,2,91500,1,9:15,11:05,1:50,110,1,9,2,2,1,2,1,3,1,6,4,6,4,4,4,6,6,6,6,6,6,6,4,4,6,5,5,4,4,5,2,,,,,6,5,5,2,3,NJ,8829,US,12,6,1,4,1,1
1,3,2,3,2,1,11,NEWARK,89,2,84500,1,8:45,11:05,2:20,140,3,7,2,2,2,2,2,1,1,5,6,6,4,5,5,6,6,5,6,6,6,6,4,5,6,6,6,6,4,5,2,,,,,9,5,2,2,1,CA,95476,US,7,7,1,2,1,1
1,3,2,3,2,1,11,NEWARK,89,2,84000,1,8:40,11:05,2:25,145,2,2,1,0,0,1,2,1,2,4,4,3,3,4,4,6,6,6,6,6,6,6,4,4,6,6,6,5,5,5,2,,,,,7,4,4,2,1,CA,,US,4,6,2,2,1,1
1,3,2,3,2,1,11,NEWARK,89,2,83000,1,8:30,11:05,2:35,155,2,2,1,2,1,1,2,1,2,4,4,4,5,5,5,6,6,3,6,6,6,6,4,4,6,6,6,4,4,5,2,,,,,24,5,5,2,2,CA,93908,US,10,6,2,0,1,1
1,3,2,3,2,1,11,NEWARK,89,2,90000,1,9:00,11:05,2:05,125,3,2,2,1,1,1,2,1,2,4,4,4,4,4,4,6,4,4,6,6,6,6,4,5,6,6,6,4,4,4,2,,,,,12,5,3,2,3,NJ,7481,US,12,6,2,3,1,1
1,3,2,3,2,1,11,NEWARK,89,2,93000,1,9:30,11:05,1:35,95,1,5,0,0,1,2,2,3,2,4,4,4,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,,,,,2,2,3,2,1,CA,94549,US,5,4,2,4,1,1
1,3,2,3,2,1,11,NEWARK,89,2,90000,1,9:00,11:05,2:05,125,2,2,2,2,1,2,2,3,2,3,4,4,4,4,3,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,,,,,5,0,0,0,1,CA,,US,90,0,0,0,1,1
1,3,2,3,2,1,11,NEWARK,89,2,93000,1,9:30,11:05,1:35,95,3,9,1,1,1,2,2,2,2,5,3,3,4,4,4,6,0,4,4,5,0,4,4,5,0,5,5,4,4,5,3,,,,,5,3,3,2,3,FL,34233,US,12,7,2,0,1,1
1,3,2,3,2,1,11,NEWARK,89,2,93000,1,9:30,11:05,1:35,95,1,2,1,1,1,2,2,3,2,4,5,5,5,5,5,4,4,4,6,6,6,6,3,5,6,6,6,4,4,4,2,,,,,7,5,1,1,1,CA,95008,US,4,4,2,3,1,1
1,3,2,3,2,1,11,NEWARK,89,2,90000,1,9:00,11:05,2:05,125,3,2,1,2,2,2,2,1,2,6,6,6,6,6,6,6,6,2,2,0,0,0,3,4,4,4,0,0,4,3,0,,,,,5,3,0,0,1,CA,94114,US,1,7,2,0,1,1
1,3,2,3,2,1,11,NEWARK,89,2,95000,1,9:50,11:05,1:15,75,2,2,1,2,2,2,2,3,2,4,3,3,3,3,3,3,3,4,4,4,3,6,4,3,6,6,6,6,3,5,1,4,,,,23,5,4,2,2,CA,95694,US,10,4,2,3,1,1
1,4,3,3,2,1,11,HOUSTON,88,2,71500,1,7:15,12:10,4:55,295,3,3,2,2,2,2,2,2,1,5,6,6,2,5,5,5,5,6,6,6,6,6,0,5,6,6,6,6,5,5,2,,,,,11,5,6,2,4,OR,97501,US,10,7,1,3,1,1
1,4,3,3,2,1,11,HOUSTON,88,2,93000,1,9:30,12:10,2:40,160,2,9,1,1,2,0,2,1,1,5,4,4,5,5,5,5,5,5,6,5,6,5,5,4,6,5,5,4,5,5,2,,,,,6,5,5,1,3,TX,77478,US,11,6,1,2,1,1
