On-Time Staus of Flight,DESTMARK,DESTGEO,TERM,STRATA,ATYPE,AIRLINE,DEST,GATE,INTDATE,Q1,Q1A,Q1MIL,DEPTIME,PASSTIME,PASSMIN,Q2_1,Q3_1,Q4A,Q4B,Q4C,Q5,Q6,Q7,SAQ,Q8A,Q8B,Q8C,Q8D,Q8E,Q8F,Q8G,Q8H,Q8I,Q8J,Q8K,Q8L,Q8M,Q8N,Q10A,Q10B,Q10C,Q10D,Q10E,Q10F,Q11,Q12,Q13,Q13A1,Q13A2,Q13A3,Q14,Q15A,Q15B,Q16,Q17,Q18STATE,Q18ZIP,Q18COUNTRY,HOME,Q19,Q20,Q21,MAIL,LANG
1,3,2,1,3,1,29,PHILADELPHIA,26,3,23500,2,14:35,22:00,7:25,445,1,3,1,0,0,2,2,1,2,4,3,3,2,0,3,3,3,6,6,6,6,6,4,3,6,4,6,3,3,3,2,,,,,11,4,3,2,4,MD,,US,12,7,0,3,1,1
1,3,2,1,3,1,29,PHILADELPHIA,26,3,33000,2,15:30,22:00,6:30,390,1,3,2,2,1,1,2,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,2,,,,,11,5,5,2,4,,,,99,0,0,0,1,1
1,3,2,1,3,1,29,PHILADELPHIA,26,3,113000,1,11:30,22:00,10:30,630,2,8,1,2,1,2,1,1,2,4,3,6,4,4,4,6,6,6,6,6,6,6,4,3,6,6,6,6,3,3,2,,,,,5,0,3,2,3,KS,66044,US,11,7,2,0,1,1
1,3,2,1,3,1,29,PHILADELPHIA,26,3,74500,2,19:45,22:00,2:15,135,1,4,2,1,2,2,2,1,2,3,6,4,4,4,4,6,6,6,6,6,6,6,4,4,6,6,6,6,4,3,2,,,,,5,4,4,2,3,PA,19103,US,12,3,2,4,1,1
1,3,2,1,3,1,29,PHILADELPHIA,26,3,73000,2,19:30,22:00,2:30,150,3,4,0,0,1,2,0,1,2,3,3,2,4,3,4,2,2,3,4,2,3,0,4,3,3,4,4,4,4,4,2,,,,,7,3,4,2,1,CA,94087,US,4,3,2,2,1,1
1,4,2,1,3,2,5,ATLANTA,32,3,93000,2,21:30,22:59,1:29,89,3,2,2,1,2,2,2,3,1,4,3,3,5,3,5,5,4,5,5,4,6,6,4,5,6,5,6,4,4,4,2,,,,,5,5,5,2,1,CA,94132,US,1,3,2,2,1,1
1,4,2,1,3,2,5,ATLANTA,32,3,94500,2,21:45,22:59,1:14,74,2,2,2,2,2,1,2,4,1,4,3,3,5,5,5,5,5,5,5,5,3,5,4,5,5,5,5,5,5,5,3,,,,,6,5,5,2,1,CA,94304,US,4,4,2,4,1,1
1,4,2,1,3,2,5,ATLANTA,32,3,60000,2,18:00,22:59,4:59,299,2,5,1,2,1,2,2,2,1,4,4,6,5,5,5,5,5,6,6,5,6,6,5,4,6,5,6,4,3,5,2,,,,,1,5,5,2,3,NC,28311,US,12,2,2,1,1,1
1,4,2,1,3,2,5,ATLANTA,32,3,113000,1,11:30,22:59,11:29,689,6,9,1,2,2,1,2,2,1,6,3,2,3,4,4,6,6,5,6,5,6,5,4,5,6,5,5,6,5,4,2,,,,,5,5,5,2,3,NC,,US,12,3,2,1,1,1
1,4,2,1,3,2,5,ATLANTA,32,3,94500,2,21:45,22:59,1:14,74,2,1,2,2,2,2,2,1,2,5,6,6,4,4,6,6,6,3,5,4,6,6,4,5,6,5,6,6,5,5,1,5,11,,,1,6,3,2,1,CA,94536,US,3,4,1,4,1,1
1,4,2,1,3,2,5,ATLANTA,32,3,95000,2,21:50,22:59,1:09,69,2,1,2,2,2,2,2,3,2,4,3,3,4,4,4,6,6,4,4,6,6,6,4,4,4,6,6,3,3,4,2,,,,,7,4,3,1,1,CA,95131,US,4,4,1,4,1,1
1,4,2,1,3,2,5,ATLANTA,32,3,83000,2,20:30,22:59,2:29,149,1,9,1,2,2,1,2,3,2,6,6,2,4,4,3,2,2,4,6,3,6,3,3,4,6,4,3,3,3,4,2,,,,,5,4,3,2,3,GA,30501,US,12,3,1,2,1,1
1,4,2,1,3,2,5,ATLANTA,32,3,90000,2,21:00,22:59,1:59,119,2,1,1,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,6,6,6,5,5,6,6,6,5,5,3,2,,,,,13,5,5,2,2,CA,95209,US,10,4,1,4,1,1
1,4,2,1,3,2,5,ATLANTA,32,3,90000,2,21:00,22:59,1:59,119,2,1,1,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,6,6,6,6,4,3,6,6,6,6,3,3,2,,,,,13,4,5,2,2,CA,95209,US,10,4,2,3,1,1
1,4,2,1,3,2,5,ATLANTA,32,3,90000,2,21:00,22:59,1:59,119,2,1,2,2,2,2,2,1,2,5,3,3,4,6,3,6,6,4,6,6,6,6,4,5,6,6,6,3,5,5,2,,,,,2,5,5,2,1,CA,94520,US,5,6,1,1,1,1
1,4,2,1,3,2,5,ATLANTA,32,3,90000,2,21:00,22:59,1:59,119,2,1,2,2,1,2,2,3,2,4,4,4,4,4,4,4,4,3,3,3,3,3,4,4,4,4,4,4,4,4,2,,,,,2,4,4,2,1,CA,94520,US,5,6,1,2,1,1
1,4,2,1,3,2,5,ATLANTA,32,3,91500,2,21:15,22:59,1:44,104,3,8,1,0,0,2,2,3,2,4,3,3,3,3,3,3,3,3,3,4,6,6,3,4,4,4,0,4,5,5,2,,,,,3,5,5,2,1,CA,94947,US,6,6,2,0,1,1
1,4,2,1,3,2,5,ATLANTA,32,3,100000,2,22:00,22:59,0:59,59,1,2,2,2,2,2,2,3,2,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,6,4,3,6,3,4,1,3,6,,,7,5,5,2,3,GA,30097,US,12,4,1,2,1,1
1,4,2,1,3,2,5,ATLANTA,32,3,83000,2,20:30,22:59,2:29,149,3,8,2,1,1,1,1,1,2,6,3,3,6,6,6,6,6,6,6,6,6,6,6,4,6,6,6,4,4,4,2,,,,,12,3,0,2,3,GA,30044,US,12,5,1,2,1,1
1,4,2,1,3,2,5,ATLANTA,32,3,100000,2,22:00,22:59,0:59,59,4,2,2,2,2,2,2,3,2,4,4,4,4,4,3,3,3,4,4,4,4,4,4,5,5,5,5,5,5,5,2,,,,,6,5,5,2,1,CA,94015,US,2,5,1,3,1,1
1,4,2,1,3,2,5,ATLANTA,32,3,,3,N,22:59,N,,3,1,1,1,1,2,1,6,2,3,1,0,2,5,4,3,3,3,4,0,5,1,3,5,5,5,5,5,5,4,2,,,,,2,4,5,2,1,CA,94134,US,1,2,2,4,1,1
1,4,2,1,3,2,5,ATLANTA,32,3,90000,2,21:00,22:59,1:59,119,1,2,1,2,2,2,2,3,2,3,4,4,5,5,5,5,5,5,6,5,6,6,5,5,6,5,6,5,4,5,2,,,,,5,5,5,2,1,CA,,US,5,3,2,3,1,1
1,4,2,1,3,2,5,ATLANTA,32,3,83000,2,20:30,22:59,2:29,149,3,8,2,1,1,2,2,1,2,6,4,6,4,6,6,6,6,6,6,6,6,6,4,5,6,6,6,4,5,3,2,,,,,9,5,5,2,0,,,,99,0,0,0,1,1
1,4,2,1,3,2,5,ATLANTA,32,3,93000,2,21:30,22:59,1:29,89,2,4,1,1,2,2,2,1,2,3,0,3,3,3,4,3,3,3,6,5,6,6,3,5,6,5,6,6,5,4,2,,,,,5,5,5,1,3,MD,21218,US,12,6,2,4,1,1
1,4,2,1,3,2,5,ATLANTA,32,3,94000,2,21:40,22:59,1:19,79,3,2,2,2,2,2,2,3,2,4,4,5,4,4,4,4,4,3,3,4,6,6,4,3,6,3,6,6,3,4,2,,,,,6,0,4,2,0,,,,99,0,0,0,1,1
1,4,2,1,3,2,5,ATLANTA,32,3,91000,2,21:10,22:59,1:49,109,3,1,1,2,2,2,2,2,2,0,0,0,5,5,0,0,4,5,4,0,4,0,4,3,0,0,0,0,0,4,1,4,,,,1,4,4,2,1,CA,,US,3,4,1,4,1,1
1,4,3,3,1,1,11,HOUSTON,90,4,41500,1,4:15,6:00,1:45,105,3,2,1,1,1,2,2,3,1,5,4,4,5,5,5,5,5,5,6,6,6,6,5,5,6,6,6,6,4,5,2,,,,,6,5,5,2,1,CA,94030,US,2,6,1,0,1,1
1,4,3,3,1,1,11,HOUSTON,90,4,43000,1,4:30,6:00,1:30,90,1,4,1,1,1,2,2,1,1,3,2,1,5,5,4,6,6,6,6,6,6,6,3,5,6,6,6,6,2,5,2,,,,,5,4,3,1,3,,,PERU,14,4,2,3,1,1
1,4,3,3,1,1,11,HOUSTON,90,4,20000,1,2:00,6:00,4:00,240,1,2,1,2,2,2,2,3,1,5,4,4,5,5,5,5,5,5,6,6,6,6,5,5,6,6,6,5,5,5,2,,,,,2,5,5,2,3,TX,78577,US,11,4,1,2,1,2
1,4,3,3,1,1,11,HOUSTON,90,4,53000,1,5:30,6:00,0:30,30,3,2,1,2,1,2,2,2,1,4,2,6,5,5,5,4,4,5,6,6,6,6,4,4,6,6,6,6,4,5,2,,,,,5,5,4,2,1,CA,94133,US,1,6,1,0,1,2
1,4,3,3,1,1,11,HOUSTON,90,4,44500,1,4:45,6:00,1:15,75,3,4,1,2,1,2,2,1,2,4,4,4,3,4,4,4,4,3,6,6,6,6,4,4,4,4,4,4,4,5,2,,,,,2,3,3,2,1,CA,94513,US,5,4,1,1,1,1
1,4,3,3,1,1,11,HOUSTON,90,4,40000,1,4:00,6:00,2:00,120,2,9,1,2,1,2,1,1,2,4,4,4,4,3,4,6,6,5,6,4,6,4,4,4,6,4,4,4,6,4,1,3,,,,5,5,4,1,3,FL,34652,US,12,5,0,3,1,1
1,4,3,3,1,1,11,HOUSTON,90,4,,1,N,6:00,N,,3,7,2,1,1,1,2,3,2,5,4,4,4,4,5,6,6,6,6,6,6,6,3,3,6,6,6,4,4,5,2,,,,,9,3,3,2,1,CA,95404,US,7,7,2,0,1,1
1,4,2,3,1,1,28,NEW YORK-JFK,82,4,33000,1,3:30,6:55,3:25,205,1,8,1,1,1,1,1,3,1,5,4,4,5,4,5,6,6,4,6,5,6,5,5,5,6,4,5,5,4,5,1,5,14,,,5,5,5,2,3,NJ,7024,US,12,5,1,4,1,1
1,4,2,3,1,1,28,NEW YORK-JFK,82,4,50000,1,5:00,6:55,1:55,115,1,2,2,1,2,1,2,3,1,4,6,6,4,6,6,6,6,3,6,6,6,6,4,5,6,6,6,6,5,5,2,,,,,6,4,5,2,1,CA,94404,US,2,7,1,1,1,1
1,4,2,3,1,1,28,NEW YORK-JFK,82,4,50000,1,5:00,6:55,1:55,115,4,4,1,2,1,2,2,2,1,6,4,6,5,5,5,6,6,6,6,6,6,6,5,5,6,6,6,4,4,5,2,,,,,1,5,5,2,3,,,NORWAY,15,2,1,0,1,2
1,4,2,3,1,1,28,NEW YORK-JFK,82,4,34500,1,3:45,6:55,3:10,190,2,2,1,2,1,2,2,1,1,4,4,6,5,5,5,6,6,6,6,6,6,6,5,5,6,6,6,6,6,4,2,,,,,6,5,5,2,1,CA,94066,US,2,5,2,0,1,2
1,4,2,3,1,1,28,NEW YORK-JFK,82,4,53000,1,5:30,6:55,1:25,85,1,7,2,2,1,2,2,3,2,5,5,5,3,4,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,5,2,,,,,5,4,3,2,3,NY,11746,US,12,4,1,4,1,1
1,4,2,3,1,1,28,NEW YORK-JFK,82,4,60000,1,6:00,6:55,0:55,55,3,2,1,2,2,2,2,1,2,2,2,2,0,3,2,2,2,3,3,3,3,6,3,5,5,5,6,5,5,4,2,,,,,1,5,5,2,1,CA,94577,US,3,5,1,2,1,1
1,1,1,3,1,1,28,BURBANK,70,4,63500,1,6:35,8:01,1:26,86,1,4,2,2,1,2,2,4,1,4,1,2,3,3,3,6,6,3,6,6,6,6,3,3,6,6,6,6,3,4,1,2,,,,5,5,1,2,1,CA,94114,US,1,5,1,4,1,1
1,1,1,3,1,1,28,BURBANK,70,4,63000,1,6:30,8:01,1:31,91,1,1,2,2,1,2,2,3,1,3,3,6,3,5,4,6,6,4,5,6,6,6,5,4,6,6,6,4,3,4,2,,,,,5,4,4,2,1,CA,94122,US,1,6,0,2,1,1
1,1,1,3,1,1,28,BURBANK,70,4,73000,1,7:30,8:01,0:31,31,2,5,2,1,2,1,2,1,1,6,3,4,4,4,4,6,6,4,6,0,6,6,4,4,6,5,6,4,4,3,2,,,,,5,4,2,2,3,NS,,CANADA,13,0,2,3,1,1
1,1,1,3,1,1,28,BURBANK,70,4,70000,1,7:00,8:01,1:01,61,1,7,1,2,2,2,2,1,1,3,6,6,2,3,3,6,6,6,6,6,6,6,3,3,6,6,6,6,6,4,2,,,,,5,4,4,2,3,NM,87133,US,10,0,0,0,1,1
1,1,1,3,1,1,28,BURBANK,70,4,61500,1,6:15,8:01,1:46,106,2,1,2,2,2,2,2,1,1,4,4,4,3,5,5,4,4,4,5,5,5,6,4,5,5,3,6,6,6,5,1,4,11,,,2,5,5,2,1,CA,94805,US,5,2,1,1,1,1
1,1,1,3,1,1,28,BURBANK,70,4,60000,1,6:00,8:01,2:01,121,2,3,2,2,2,2,2,3,1,5,4,6,5,5,5,6,6,6,6,6,6,6,4,5,6,6,6,6,5,4,2,,,,,11,5,4,2,4,ID,83704,US,10,7,2,1,1,1
1,1,1,3,1,1,28,BURBANK,70,4,63000,1,6:30,8:01,1:31,91,2,2,1,2,1,2,2,1,1,5,6,6,5,5,4,6,6,6,6,6,6,6,5,4,6,6,6,6,5,5,2,,,,,24,5,5,2,2,CA,93955,US,10,5,1,0,1,1
1,1,1,3,1,1,28,BURBANK,70,4,44500,1,4:45,8:01,3:16,196,2,3,2,2,1,2,2,1,2,6,0,0,4,6,3,6,6,6,6,6,6,6,4,4,6,6,6,4,4,4,2,,,,,11,4,6,1,4,HI,96725,US,10,6,2,2,1,1
1,3,2,3,1,1,28,NEWARK,86,4,80000,1,8:00,9:01,1:01,61,2,4,2,2,1,2,2,3,1,4,4,6,4,4,4,6,6,5,6,5,6,4,4,5,6,5,4,5,4,5,2,,,,,12,4,4,2,3,DC,20016,US,12,6,1,4,1,1
1,3,2,3,1,1,28,NEWARK,86,4,64500,1,6:45,9:01,2:16,136,3,2,1,2,2,1,2,2,1,3,4,4,4,4,4,4,4,5,0,0,0,0,4,4,0,0,0,0,0,5,1,5,,,,6,5,4,2,1,CA,94025,US,2,7,2,2,1,1
1,3,2,3,1,1,28,NEWARK,86,4,70000,1,7:00,9:01,2:01,121,3,2,1,2,2,2,2,1,1,6,4,6,5,5,5,5,5,6,6,6,6,6,5,6,6,6,6,6,5,4,2,,,,,1,5,5,2,1,CA,94580,US,3,6,1,0,1,1
1,3,2,3,1,1,28,NEWARK,86,4,64500,1,6:45,9:01,2:16,136,2,2,1,2,1,2,2,3,1,4,3,3,4,4,4,6,6,4,4,6,6,6,4,3,6,6,6,3,3,5,2,,,,,1,5,4,2,1,CA,94610,US,3,6,2,0,1,1
1,3,2,3,1,1,28,NEWARK,86,4,70000,1,7:00,9:01,2:01,121,1,2,2,1,1,2,2,1,2,3,3,3,3,3,3,3,3,2,2,2,2,2,3,4,4,4,4,4,4,5,2,,,,,5,4,4,2,3,NJ,7733,US,12,4,1,4,1,1
1,3,2,3,1,1,28,NEWARK,86,4,80000,1,8:00,9:01,1:01,61,2,2,1,2,2,2,2,2,2,4,4,4,4,4,4,6,6,4,4,6,4,6,4,4,4,4,4,4,3,4,2,,,,,2,4,3,1,3,,,,99,2,1,1,1,1
1,2,2,3,1,1,28,WASHINGTON-D,83,4,74500,1,7:45,10:03,2:18,138,1,2,1,0,0,2,2,1,1,3,3,6,5,5,5,6,6,6,6,6,6,6,4,3,6,6,6,6,6,5,2,,,,,10,5,5,2,3,NY,14839,US,12,5,1,2,1,1
1,2,2,3,1,1,28,WASHINGTON-D,83,4,83000,1,8:30,10:03,1:33,93,8,9,1,1,1,2,2,1,1,6,4,3,4,4,5,6,6,4,4,4,6,3,4,5,6,4,3,4,3,5,2,,,,,6,4,5,2,3,TX,75089,US,11,4,1,0,1,1
1,2,2,3,1,1,28,WASHINGTON-D,83,4,80000,1,8:00,10:03,2:03,123,2,5,2,2,2,2,2,2,2,4,5,4,5,5,5,4,4,6,4,4,6,4,4,4,4,4,4,4,4,5,2,,,,,5,4,4,2,1,CA,94610,US,3,6,1,4,1,1
1,2,2,3,1,1,28,WASHINGTON-D,83,4,92000,1,9:20,10:03,0:43,43,2,4,1,2,2,2,2,1,2,6,6,6,4,3,4,4,4,6,6,6,6,6,4,4,6,6,6,6,6,4,2,,,,,5,5,4,2,3,,,AUSTRALIA,19,7,1,0,1,1
1,2,2,3,1,1,28,WASHINGTON-D,83,4,80000,1,8:00,10:03,2:03,123,1,4,1,2,2,1,2,1,2,3,3,3,3,3,4,6,4,6,6,6,6,6,3,3,6,6,6,6,3,4,2,,,,,5,3,1,1,3,VA,24018,US,12,4,2,2,1,1
1,2,2,3,1,1,28,WASHINGTON-D,83,4,73000,1,7:30,10:03,2:33,153,1,4,1,2,1,2,2,2,2,4,5,6,3,3,4,2,6,6,6,6,6,6,3,4,6,6,6,4,4,3,2,,,,,1,3,2,2,3,VA,22603,US,12,6,2,4,1,1
1,2,2,3,1,1,28,WASHINGTON-D,83,4,,1,N,10:03,N,,1,3,1,1,1,1,2,1,2,5,4,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,2,,,,,11,4,4,2,4,,,,99,4,2,2,1,4
1,2,2,3,1,1,28,WASHINGTON-D,83,4,,1,N,10:03,N,,2,2,2,1,2,1,2,3,2,4,3,3,4,4,4,4,4,6,6,6,6,6,4,4,6,6,6,4,4,4,0,,,,,1,4,3,1,1,CA,94568,US,3,6,2,2,1,4
1,4,1,3,2,1,28,PHOENIX,77,4,84000,1,8:40,11:00,2:20,140,2,3,2,1,1,2,2,2,1,3,3,3,3,3,3,3,3,0,0,0,0,0,4,5,6,6,6,3,4,4,2,,,,,11,5,6,2,4,CO,80210,US,10,7,2,1,1,1
1,4,1,3,2,1,28,PHOENIX,77,4,90000,1,9:00,11:00,2:00,120,1,8,1,2,2,2,2,1,1,5,6,6,5,6,6,6,6,5,6,6,6,6,5,3,6,6,6,6,4,5,2,,,,,2,5,2,2,1,CA,94520,US,5,5,1,2,1,1
1,4,1,3,2,1,28,PHOENIX,77,4,84500,1,8:45,11:00,2:15,135,1,2,2,2,1,2,2,4,1,3,2,2,4,4,4,6,6,6,3,6,0,4,3,4,6,6,6,3,3,4,2,,,,,5,4,2,2,1,CA,94158,US,1,4,1,0,1,2
1,4,1,3,2,1,28,PHOENIX,77,4,80000,1,8:00,11:00,3:00,180,2,3,0,0,1,2,2,1,2,4,4,4,5,5,4,6,6,6,6,6,6,6,4,5,6,6,6,5,5,5,2,,,,,11,5,6,2,4,CA,93401,US,10,6,2,2,1,1
1,4,1,3,2,1,28,PHOENIX,77,4,80000,1,8:00,11:00,3:00,180,1,3,1,2,2,0,0,0,2,4,4,3,5,5,4,6,6,6,6,6,6,6,5,4,6,6,6,4,4,5,1,4,,,,11,5,3,2,4,AZ,85297,US,10,5,1,4,1,1
1,3,2,1,1,1,29,PHILADELPHIA,28,4,50000,1,5:00,6:15,1:15,75,1,4,2,2,1,2,2,4,1,3,3,3,4,3,3,6,6,6,6,6,6,6,4,3,6,6,6,6,3,5,2,,,,,5,5,5,2,3,NJ,8084,US,12,5,1,4,1,1
1,3,2,1,1,1,29,PHILADELPHIA,28,4,43000,1,4:30,6:15,1:45,105,3,1,2,2,2,2,2,5,1,3,6,6,4,4,4,6,6,4,4,6,4,6,4,4,6,6,6,6,6,5,2,,,,,2,5,5,2,1,CA,94506,US,5,6,2,4,1,1
1,3,2,1,1,1,29,PHILADELPHIA,28,4,44500,1,4:45,6:15,1:30,90,1,7,1,2,2,2,2,3,1,3,3,3,4,4,4,6,6,6,6,6,6,6,3,3,6,6,6,6,6,3,2,,,,,6,5,3,2,3,PA,19382,US,12,6,1,0,1,1
1,3,2,1,1,1,29,PHILADELPHIA,28,4,41500,1,4:15,6:15,2:00,120,1,2,1,2,2,2,2,1,1,6,6,6,3,4,4,6,6,6,6,6,6,6,4,4,6,6,6,6,4,4,2,,,,,2,5,4,1,3,,,GERMANY,15,2,2,0,1,1
1,3,2,1,1,1,29,PHILADELPHIA,28,4,43000,1,4:30,6:15,1:45,105,1,4,2,2,2,2,2,4,1,6,6,6,4,6,4,6,6,6,6,6,6,6,4,4,6,6,6,6,6,3,2,,,,,5,4,3,2,3,PA,18940,US,12,6,2,4,1,1
1,3,2,1,1,1,29,PHILADELPHIA,28,4,43000,1,4:30,6:15,1:45,105,1,7,2,2,2,2,2,3,1,4,3,3,4,4,4,6,6,6,6,6,6,6,4,4,6,6,6,6,6,5,2,,,,,7,4,5,2,3,NY,14870,US,12,5,1,4,1,1
1,3,2,1,1,1,29,PHILADELPHIA,28,4,44500,1,4:45,6:15,1:30,90,1,7,2,2,2,2,2,4,2,3,3,3,4,2,3,6,6,4,6,5,6,3,3,4,6,4,3,6,3,5,2,,,,,5,5,5,2,3,PA,19035,US,12,5,1,4,1,1
1,3,2,1,1,1,29,PHILADELPHIA,28,4,40000,1,4:00,6:15,2:15,135,5,4,1,2,1,2,2,2,2,4,2,2,3,3,4,6,6,3,4,4,6,5,4,4,6,3,3,3,4,3,2,,,,,5,5,5,2,3,,,GERMANY,15,3,1,2,1,1
1,3,2,1,1,1,29,PHILADELPHIA,28,4,50000,1,5:00,6:15,1:15,75,3,6,2,2,1,2,2,4,2,3,2,4,3,4,3,3,3,4,6,4,6,3,3,4,6,5,4,3,3,5,2,,,,,5,5,5,1,1,CA,94115,US,1,3,1,2,1,1
1,3,2,1,1,1,29,PHILADELPHIA,28,4,50000,1,5:00,6:15,1:15,75,2,2,1,0,0,2,2,3,2,3,2,0,4,2,3,6,6,5,4,6,4,6,4,4,6,6,6,6,6,4,2,,,,,1,5,5,2,1,CA,,US,3,5,2,0,1,1
1,3,2,1,1,1,29,PHILADELPHIA,28,4,42000,1,4:20,6:15,1:55,115,3,1,2,2,1,2,2,2,2,0,0,4,4,4,5,3,4,4,3,3,3,4,4,5,6,6,6,5,5,4,1,3,,,,2,5,5,2,1,CA,,US,90,6,2,0,1,1
1,3,2,1,1,1,29,PHILADELPHIA,28,4,43000,1,4:30,6:15,1:45,105,3,2,1,2,2,2,2,1,2,4,6,6,5,5,5,6,6,5,5,6,6,6,5,5,6,6,6,6,5,5,2,,,,,19,5,5,2,2,CA,95677,US,10,3,2,0,1,1
1,3,2,1,1,1,29,PHILADELPHIA,28,4,41500,1,4:15,6:15,2:00,120,1,7,2,2,1,2,2,1,2,6,3,6,4,3,4,6,6,4,6,5,6,6,3,4,6,5,6,4,3,4,2,,,,,5,4,4,2,3,,,UK,15,7,2,0,1,1
1,3,2,1,1,1,29,PHILADELPHIA,28,4,35000,1,3:50,6:15,2:25,145,3,1,1,2,2,2,2,1,2,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,3,3,3,3,4,3,2,,,,,8,5,5,2,0,,,,99,2,2,1,1,1
1,3,2,1,1,1,29,PHILADELPHIA,28,4,43000,1,4:30,6:15,1:45,105,1,4,2,2,1,2,2,6,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,6,6,4,4,4,2,,,,,1,5,5,2,1,CA,,US,3,4,0,3,1,1
1,3,2,1,1,1,29,PHILADELPHIA,28,4,45000,1,4:50,6:15,1:25,85,2,7,2,2,1,2,2,3,2,4,3,3,3,3,3,2,2,4,4,4,3,4,3,3,3,3,3,3,2,4,1,4,,,,2,5,5,2,1,CA,94526,US,5,5,2,4,1,1
1,3,2,1,1,1,29,PHILADELPHIA,28,4,44500,1,4:45,6:15,1:30,90,1,8,1,2,1,2,2,1,2,5,3,6,5,6,5,6,6,0,0,0,0,0,4,4,6,6,6,3,3,5,2,,,,,5,5,5,2,3,PA,19053,US,12,5,1,4,1,1
1,3,2,1,1,1,29,PHILADELPHIA,28,4,43000,1,4:30,6:15,1:45,105,2,2,1,2,1,2,2,1,2,3,4,3,3,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,,,,,1,5,5,2,1,CA,94542,US,3,2,2,1,1,1
1,3,2,1,1,1,29,PHILADELPHIA,28,4,50000,1,5:00,6:15,1:15,75,3,4,2,2,2,2,2,4,2,2,2,2,4,3,3,6,6,3,3,6,2,3,3,3,4,0,3,3,3,4,2,,,,,6,0,0,2,1,CA,,US,90,4,1,4,1,1
1,3,2,1,1,1,29,PHILADELPHIA,28,4,44500,1,4:45,6:15,1:30,90,1,6,2,2,1,2,2,1,2,3,3,3,3,3,2,6,6,6,6,6,6,6,3,3,6,6,6,6,6,3,2,,,,,5,3,3,2,3,PA,19027,US,12,6,1,4,1,1
1,3,2,1,1,1,29,PHILADELPHIA,28,4,41500,1,4:15,6:15,2:00,120,2,1,1,2,1,2,2,3,2,4,3,3,3,3,3,3,3,3,3,6,3,6,3,3,6,6,6,3,3,3,2,,,,,1,3,3,2,1,CA,94502,US,3,5,2,4,1,1
1,3,2,1,1,1,29,PHILADELPHIA,28,4,50000,1,5:00,6:15,1:15,75,1,9,1,2,2,2,2,6,2,3,2,2,4,4,3,6,6,4,6,5,6,5,4,4,6,5,4,3,3,5,2,,,,,7,5,5,2,3,PA,,US,12,4,1,0,1,1
1,3,2,1,1,1,29,PHILADELPHIA,28,4,43000,1,4:30,6:15,1:45,105,1,4,1,0,0,0,0,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,2,,,,,12,4,5,2,3,PA,18027,US,12,5,2,4,1,1
2,2,1,1,1,1,25,SANTA ANA,31,4,80000,1,8:00,9:55,1:55,115,1,2,2,2,2,2,2,3,1,6,4,4,4,4,4,6,6,4,6,6,6,6,4,4,6,6,6,4,4,5,2,,,,,6,5,5,2,3,CA,90604,US,10,4,2,3,1,1
1,4,2,1,1,1,29,CHARLOTTE,26,4,54500,1,5:45,7:25,1:40,100,1,7,2,1,2,2,2,1,1,6,6,6,5,6,5,6,6,6,6,6,6,6,5,5,6,6,6,6,6,5,2,,,,,5,5,4,2,3,SC,29672,US,12,6,1,4,1,1
1,4,2,1,1,1,29,CHARLOTTE,26,4,54500,1,5:45,7:25,1:40,100,1,4,1,2,1,2,2,1,1,6,4,6,4,6,4,6,6,4,6,6,6,6,4,4,6,6,6,4,4,4,2,,,,,5,5,3,2,3,PA,16002,US,12,5,1,3,1,1
1,4,2,1,1,1,29,CHARLOTTE,26,4,53000,1,5:30,7:25,1:55,115,1,7,1,2,2,2,2,3,1,4,4,4,4,4,4,6,6,4,6,4,6,6,4,5,6,6,6,5,5,5,2,,,,,6,5,5,2,3,NC,28278,US,12,6,1,3,1,1
1,4,2,1,1,1,29,CHARLOTTE,26,4,44000,1,4:40,7:25,2:45,165,1,7,2,2,1,2,2,2,1,6,6,6,5,6,3,6,6,6,6,6,6,6,5,5,6,6,6,6,4,4,2,,,,,6,5,5,2,3,NC,27106,US,12,6,1,4,1,1
1,4,2,1,1,1,29,CHARLOTTE,26,4,53000,1,5:30,7:25,1:55,115,1,4,1,2,1,2,2,1,1,4,4,4,4,4,4,4,4,6,6,6,6,6,4,3,6,6,6,3,3,4,2,,,,,5,3,3,2,3,NC,27834,US,12,5,2,2,1,1
1,4,2,1,1,1,29,CHARLOTTE,26,4,43000,1,4:30,7:25,2:55,175,2,6,1,2,1,2,2,5,2,3,3,3,4,4,4,4,4,4,6,4,6,3,4,4,4,4,4,4,4,5,1,2,,,,4,5,5,2,1,CA,,US,1,0,0,0,1,1
1,4,2,1,1,1,29,CHARLOTTE,26,4,61500,1,6:15,7:25,1:10,70,2,1,2,1,1,2,2,3,2,3,4,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,5,2,,,,,1,5,4,1,1,CA,94602,US,3,4,2,4,1,1
