STREETA,STREETB,DIRECTION,AM_PEAKVOL,PM_PEAKVOL,DATE
39TH ST,P ST,NB/SB,508,632,12/06/2018
I ST,16TH ST,WB,508,682,03/18/1993
20TH ST,UPRR,SB,3,10,10/07/2014
FLORIN RD,PARKHAVEN WY,EB,507,500,05/23/2001
J ST,49TH ST,WB,507,537,08/16/2005
F ST,13TH ST,EB/WB,507,644,05/17/1993
COSUMNES RIVER BL,FRANKLIN BL,WB,507,713,09/21/2011
X ST,26TH ST,EB,507,944,05/18/1995
LONGVIEW DR,RT 80 EBOFF R,EB/WB,506,424,01/26/2005
29TH ST,H ST,SB,506,491,11/18/1992
AZEVEDO DR,COROVAL DR,NB/SB,506,640,07/24/1995
ETHAN WY,MIDDLEBERRY RD,NB/SB,506,713,05/08/1998
E COMMERCE WY,DEL PASO RD,NB,506,869,09/27/2017
RIO LINDA BL,ROANOKE AV,SB,505,358,03/07/1994
39TH ST,S ST,NB/SB,505,394,10/10/1994
MUNROE ST,HUNTINGTON RD,SB,505,479,10/29/2014
FOLSOM BL,JED SMITH DR,EB,505,501,03/16/2003
K ST,23RD ST,WB,505,516,09/16/2003
5TH ST,X ST,NB,505,544,08/18/1992
SEAMAS AV,KARBET WY,WB,505,546,06/18/1992
14TH AV,Btwn Redding Av & Marsalla Ct,WB,505,591,05/16/2012
EVERGREEN ST,EL CAMINO AV,NB/SB,505,702,10/04/1995
LA RIVIERA DR,LIDO CR,EB/WB,505,887,12/29/1994
19TH ST,CAPITOL AV,SB,505,964,05/10/2001
ERIN DR,WEST EL CAMINO AV,EB,505,1005,01/17/2002
FREEPORT BL,10TH AV,SB,505,1125,08/08/2000
EL CAMINO AV,EVERGREEN ST,SB,504,325,12/03/2002
BRDWAY,62ND ST,WB,504,421,02/25/2010
CENTER PK,ARROYO VISTA DR,NB,504,450,06/27/2000
ALPINE AV,POWER INN RD,EB/WB,504,604,05/29/1990
FRUITRIDGE RD,MARTIN LUTHER KING JR BL,SB,504,706,09/19/2017
14TH AV,BUSINESS DR,WB,504,765,04/17/2007
WEST EL CAMINO AV,NORBERT WY,WB,504,907,09/25/1995
F ST,13TH ST,EB/WB,504,977,03/16/1994
FREEPORT BL,BELLEAU WOOD LN,SB,504,1134,04/12/2007
DEL PASO BL,GLOBE AV,SB,503,400,08/24/2006
VAN NESS ST,EL CAMINO AV,NB/SB,503,533,09/20/1995
BRUCEVILLE RD,DAMASCAS DR,SB,503,605,07/01/2003
JIBBOOM ST,I ST,NB/SB,503,654,03/29/1993
GREENHAVEN DR,WINDBRIDGE DR,EB,503,983,02/19/1998
RIVERSIDE BL,SHORESIDE DR,WB,503,1342,03/24/1994
G ST,11TH ST,WB,502,285,09/10/2008
RT 5 NB OFF R,MEADOWVIEW RD,NB,502,448,05/01/2007
21ST AV,34TH ST,EB/WB,502,451,01/17/2001
GLORIA DR,43RD AV,NB/SB,502,468,01/13/2004
HAvNSIDE DR,LAS POSITAS CR,NB/SB,502,573,07/22/1999
23RD ST,K ST,WB,502,590,02/20/2008
ELVAS AV,C ST,NB/SB,502,603,06/16/1993
H ST,46TH ST,EB,502,643,04/06/2011
H ST,42ND ST,EB,502,851,07/30/1996
LA RIVIERA DR,COLLEGE TOWN DR (N. LEG),NB,502,990,02/26/1991
RIO LINDA BL,N of LAMPASAS AV,SB,501,366,09/11/2013
RIO LINDA BL,GRAND AV,SB,501,396,10/03/2007
SILVER EAGLE RD,NORTHGATE BL,WB,501,526,10/04/2007
10TH ST,I ST,NB,501,592,01/04/1993
NORWOOD AV,BELL AV,NB,501,691,10/03/2007
19TH ST,N ST,SB,501,902,09/21/1992
SILVER EAGLE RD,MABEL ST,EB/WB,501,1064,08/03/2005
BRUCEVILLE RD,WYNDHAM DR,NB,500,544,02/07/1996
EL CAMINO AV,FAIRFIELD ST,EB,500,631,01/09/2014
H St,just E/o 44th St,EB,500,735,09/05/2012
FOLSOM BL,39TH ST,EB,500,819,09/16/2008
LAND PARK DR,2ND AV,NB,500,831,07/13/1992
CARLSON DR,STATE AV,NB/SB,500,1154,09/06/2002
RIVERSIDE BL,SEA CT,WB,500,1289,03/29/1994
LATHAM DR,MUNROE ST,WB,499,377,09/07/2000
ETHAN WY,KEITH WY,NB/SB,499,754,11/30/1993
MUNROE ST,LATHAM DR,NB,499,787,08/13/1996
BELL AV,NORWOOD AV,WB,498,366,09/15/2011
JIBBOOM ST,RICHARDS BL,SB,498,441,05/14/2019
CREST DR,FENMORE AV,NB/SB,498,511,09/29/2004
24TH ST,MARSHALL WY,NB/SB,498,604,03/29/2005
24th St,Btwn Burnett Wy & 1st Av,NB/SB,498,629,05/16/2012
POCKET RD,POCKET RD,NB/SB,498,649,07/27/1995
ELDER CREEK RD,POWER INN RD,WB,498,776,04/03/2018
49TH ST,V ST,SB,497,200,03/19/2013
LUTHER DR,52ND AV,NB/SB,497,476,05/18/2011
VALLEY HI DR,MEADOW PARK WY,WB,497,480,04/19/2016
VALLEY HI DR,MEADOW PARK WY,EB/WB,497,480,04/19/2016
SAN JUAN RD,ISHI CR,WB,497,700,03/16/2003
ETHAN WY,WYDA WY,NB/SB,497,751,08/09/2005
BROADWAY,SAN RAFAEL CT,WB,497,781,01/29/2014
FOLSOM BL,37TH ST,EB,497,905,04/03/2014
FOLSOM BL,37TH ST,WB,497,905,04/03/2014
WEST EL CAMINO AV,TRUXEL RD,EB,497,974,10/04/2007
X ST,26TH ST,EB,497,1017,06/07/1994
X ST,10TH ST,EB,497,1402,11/14/2018
5TH ST,1ST AV,NB/SB,496,527,08/18/1992
LEMON HILL AV,STOCKTON BL,WB,496,599,01/14/2014
LEMON HILL AV,STOCKTON BL,EB/WB,496,599,01/14/2014
N ST,22ND ST,EB,496,656,08/05/1998
7TH ST,H ST,SB,496,657,05/20/2015
T ST,46TH ST,EB/WB,496,700,11/09/2004
BRDWAY,14TH ST,EB,496,762,03/21/2012
FOLSOM BL,53RD ST,EB,496,827,01/10/2018
FOLSOM BL,44TH ST,EB,496,869,04/03/2014
BRUCEVILLE RD,JACINTO AV,SB,495,657,07/08/2003
TRUXEL RD,ARENA BL,WB,495,680,09/21/2017
NORWOOD AV,ELEANOR AV,NB/SB,495,682,01/12/1994
NORTHVIEW DR,WEST EL CAMINO AV,WB,495,946,12/11/2003
24TH ST,47TH AV,SB,495,998,03/30/1995
GATEWAY PARK BL,DEL PASO RD,SB,494,210,06/16/2005
MC KINLEY BL,32ND ST,WB,494,330,03/03/1998
CHALLENGE WY,ARDEN WY,NB,494,470,07/27/2006
JACKSON RD,FLORIN PERKINS RD,EB/WB,494,522,03/15/2003
15TH ST,H ST,SB,494,570,09/10/1992
Evergreen St,Btwn Frienza Av & Frienza/Santiago Alley,NB/SB,494,593,05/16/2012
NORWOOD AV,KESNER AV,SB,494,597,07/21/1994
BRUCEVILLE RD,DAMASCAS DR,NB,494,616,07/01/2003
34TH ST,Y ST,SB,494,684,10/09/1997
9TH ST,T ST,SB,494,1453,01/29/1998
BELL AV,RALEY BL,EB,493,382,09/07/2005
WEST EL CAMINO AV,NORTHGATE BL,WB,493,704,10/04/2007
MUNROE ST,LATHAM DR,NB,493,785,03/21/2012
BUSINESS 80,EL CAMINO AV,NB,493,1295,02/08/2018
16TH ST E Lanes,D ST,NB,493,1502,03/21/2012
VALLEY HI DR,VALLEY GREEN DR,EB,492,378,05/21/2003
34TH ST,S ST,NB/SB,492,379,04/19/1993
RIVERSIDE BL,YALE ST,NB,492,426,11/17/1992
BRUCEVILLE RD,JACINTO AV,NB,492,484,03/22/2001
TRUXEL RD,ARENA BL,WB,492,597,04/07/2011
MC ADOO AV,MESSINA DR,NB/SB,492,640,09/12/2002
J ST,44TH ST,EB,492,708,05/18/2011
X ST,7TH ST,EB/WB,492,749,01/23/2001
K ST,26TH ST,EB,492,770,02/27/2002
JANSEN DR,59TH ST,EB/WB,492,948,10/22/2002
MACK RD,FRANKLIN BL,EB,492,1608,05/01/2007
MACK RD,FRANKLIN BL,EB,492,1608,05/01/2007
BLUMENFELD DR,FEE DR,NB/SB,491,480,07/13/1994
SOUTH LAND PARK DR,RIDGEWAY DR,NB/SB,491,486,06/10/2003
FLORIN RD,HAVENSIDE DR,EB/WB,491,577,03/10/1993
DEER GLEN WY,RED DEER WY,SB,491,582,02/25/2003
43RD AV,WYCLIFFE WY,EB/WB,491,590,12/20/2018
E ST,20TH ST,EB/WB,491,674,02/20/2020
ARENA BL,GATEWAY PARK BL,SB,490,293,01/06/2005
GRAND AV,NORWOOD AV,EB/WB,490,523,04/01/1998
ESPLANADE,J ST,NB,490,611,07/20/1994
ROYAL OAKS DR,ARDEN WY,NB/SB,490,628,03/02/1999
J ST,5TH ST,NB,490,649,09/20/2017
24TH ST,28TH AV,NB/SB,490,720,12/28/1993
BRDWAY,42ND ST,WB,490,801,06/14/2007
MAIN AV,NORWOOD AV,WB,489,178,06/17/2003
BELL AV,MAY ST,WB,489,433,08/28/2018
LA MANCHA WY,TANGERINE AV,NB/SB,489,465,05/31/2001
J ST,RODEO DR,WB,489,542,08/16/2005
ELVAS AV,49TH ST,EB/WB,489,548,06/17/2003
EL CAMINO AV,EMPRESS ST,EB,489,621,04/05/2016
ARENA BL,GATEWAY PARK BL,WB,489,707,01/06/2005
17TH AV,53RD ST,EB,3,3,03/01/2011
CENTER PK,CALVINE RD,NB,488,282,04/23/1996
CAPITOL ML,7TH ST,EB/WB,488,478,05/03/1993
9TH ST,H ST,SB,488,505,11/19/1992
CENTER PK,BRUCEVILLE RD,EB/WB,488,670,01/21/1998
K ST,19TH ST,EB/WB,488,713,11/30/2005
21ST ST,SUTTERVILLE RD,NB/SB,488,820,02/05/2002
ELDER CREEK RD,LOGAN ST,WB,488,831,06/18/2009
AZEVEDO DR,BANNON CREEK DR,NB/SB,488,919,07/30/2002
SILVER EAGLE RD,MABEL ST,EB/WB,488,970,07/23/1998
Q ST,16TH ST,EB,488,1058,12/02/2004
FRANKLIN BL,41ST AV,SB,488,1084,11/01/2007
8TH ST,R ST,NB/SB,487,252,02/22/1995
MC KINLEY BL,32ND ST,WB,487,311,09/12/1995
I ST,26TH ST,EB/WB,487,381,10/25/2016
ROYAL OAKS DR,ARDEN WY,NB/SB,487,545,03/03/1999
ARCADE BL,MARYSVILLE BL,WB,487,632,05/14/2019
BRUCEVILLE RD,SHASTA AV,NB/SB,487,717,07/07/1994
24TH ST,45TH AV,SB,487,920,10/25/2007
WEST EL CAMINO AV,NORTHGLEN ST,NB,487,951,02/05/2003
7TH ST,RAILYARDS BL,SB,486,282,05/14/2019
NORTH PARK DR,BANFIELD DR,EB/WB,486,369,03/05/2008
MARYSVILLE BL,SONOMA WY,SB,486,442,10/03/2007
MARTIN LUTHER KING JR BL,Btwn 24th Av & 25th Av,NB,486,455,10/30/2012
K ST,26TH ST,WB,486,553,10/03/1994
Q ST,28TH ST,EB,486,611,10/01/2008
K ST,22ND ST,EB/WB,486,655,08/28/2018
H ST,22ND ST,EB/WB,486,699,01/27/1998
EL CAMINO AV,EL CENTRO RD,WB,486,881,03/04/2014
EL ARADO WY,EL BOLSILLO WY,SB,4,8,02/21/2007
BELL AV,PINELL ST,EB/WB,485,480,09/27/1995
21ST AV,34TH ST,EB/WB,485,495,02/26/2004
SUTTERVILLE RD,17TH AV,WB,485,506,06/20/2017
BRUCEVILLE RD,JACINTO AV,NB/SB,485,555,10/28/1993
N ST,5TH ST,EB,485,638,06/16/1993
FREEPORT BL,MEADOWVIEW RD,NB/SB,485,648,08/09/2005
J St,Btwn 38th St Offsets (E/o pedestrian island),WB,485,712,09/06/2012
FORD RD,RIO LINDA BL,NB,485,878,05/28/2003
FRANKLIN BL,ATLAS AV,SB,485,1008,01/14/1999
X ST,28TH ST,EB,485,1037,07/07/1993
LAND PARK DR,14TH AV,NB,484,248,02/25/2009
JESSIE AV,RIO LINDA BL,SB,484,310,05/28/2003
SOUTH LAND PARK DR,HOLSTEIN WY,NB,484,514,10/08/1992
NATOMAS BL,ELKHORN BL,NB/SB,484,557,01/26/2005
T ST,39TH ST,EB/WB,484,652,06/27/1995
ARENA BL,TRUXEL RD,WB,484,694,11/06/2008
SOUTH LAND PARK DR,13TH ST,NB/SB,484,699,08/18/1994
RIO LINDA BL,CARMELITA AV,NB,484,813,04/19/2007
BRDWAY,50TH ST,EB,484,815,03/23/1994
MARYSVILLE BL,BELL AV,SB,483,239,04/06/2016
30TH ST,E ST,WB,483,390,11/15/2016
14TH AV,65TH ST,EB,483,469,12/07/1992
43RD AV,LAKE CREST WY,EB,483,497,12/08/1992
CALVINE RD,SUMMER RIM CR,EB/WB,483,524,07/24/1997
TRUXEL RD,WATERWHEEL DR,SB,483,527,03/22/2003
FRANKLIN BL,BROADWAY,NB/SB,483,577,10/18/2007
KAISER DRWY (N),BRUCEVILLE RD,SB,483,584,04/24/2007
SUTTERVILLE RD,FRANCIS CT,WB,483,602,09/16/1993
MARTIN LUTHER KING JR BL,16TH AV,SB,483,742,01/28/2004
N ST,28TH ST,EB/WB,483,759,10/01/2008
I ST,21ST ST,WB,482,345,11/14/2018
8TH ST,CAPITOL ML,NB,482,472,04/17/1997
UNIVERSITY AV,HOWE AV,NB,482,590,09/20/2017
MESSINA DR,MONALEE AV,EB/WB,482,702,09/19/2002
ARDEN-GARDEN CONNECTOR,NORTHGATE BL,EB,482,814,09/30/1999
ARENA BL,GATEWAY PARK BL,EB,481,284,01/06/2005
14TH AV,73RD ST,EB,481,426,04/16/2001
C ST,ALHAMBRA BL,EB/WB,481,491,06/06/2018
Y ST,STOCKTON BL,EB/WB,481,493,03/20/2002
ALHAMBRA BL,FOLSOM BL,NB,481,556,10/18/2007
H ST,CARLSON DR,WB,481,567,08/12/1993
SOUTH LAND PARK DR,35TH AV,NB/SB,481,577,08/11/1994
ALHAMBRA BL,FOLSOM BL,NB,481,592,10/28/2010
EVERGREEN ST,DIXIEANNE AV,NB/SB,481,776,05/01/2003
FRANKLIN BL,EHRHARDT AV,SB,481,1146,08/15/2002
EL CENTRO RD,DEL PASO RD,SB,480,363,02/22/2012
RICHARDS BL,SUNBEAM AV,EB,480,466,10/01/2008
CENTER PK,BAMFORD DR,NB,480,531,01/06/1994
CAPITOL AV,19TH ST,EB/WB,480,603,10/08/2009
RIVERSIDE BL,W ST,NB/SB,480,663,06/08/1994
FRANKLIN BL,5TH AV,NB/SB,480,723,12/27/1994
C ST,16TH ST,EB/WB,480,739,10/13/1998
BROADWAY,18TH ST,WB,480,743,05/24/2016
RT 80 WB OFF R,WEST EL CAMINO AV,WB,479,437,04/01/2009
30TH ST,R ST,NB,479,444,01/27/2016
C ST,39TH ST,EB/WB,479,451,04/02/1997
AZEVEDO DR,MOONTREE DR,NB,479,589,10/12/1993
22ND ST,N ST,NB/SB,479,731,12/04/2018
22ND ST,N ST,EB/WB,479,731,12/04/0218
RIVERSIDE BL,HAVENSIDE DR,WB,479,1163,11/13/2008
8TH ST,Q ST,NB,478,264,09/08/1992
RIO LINDA BL,JESSIE AV,SB,478,272,11/14/2007
ARENA BL,GATEWAY PARK BL,SB,478,297,11/16/2004
58TH ST,21ST AV,NB/SB,478,346,04/13/2000
DEL PASO RD,WYNDVIEW WY,EB/WB,478,395,01/07/2009
RIO LINDA BL,BELL AV,NB/SB,478,514,11/04/1989
EL CAMINO AV,ERICKSON ST,EB,478,523,08/19/2008
RIO LINDA BL,BENTON AV,NB/SB,478,575,09/01/1994
ROYAL OAKS DR,SOUTHGATE RD,NB/SB,478,636,04/21/1998
EL CAMINO AV,EDGEWATER RD,EB,478,646,04/02/2001
ARENA BL,TRUXEL RD,WB,478,884,03/11/2009
FOLSOM BL,51ST ST,EB,478,885,04/29/2010
HURLEY WY,ETHAN WY,WB,478,965,07/04/1992
VALLEY HI DR,WEOTT CT,WB,477,422,05/21/2003
39TH ST,J ST,NB/SB,477,455,03/11/2003
BELL AV,MAY ST,EB,477,530,08/28/2018
BELL AV,MAY ST,EB,477,530,08/28/2018
Heritage Ln,approach to Arden Wy,NB,477,604,10/02/2013
BRUCEVILLE RD,JACINTO AV,NB,477,627,07/08/2003
N ST,6TH ST,EB,477,655,02/10/2016
19TH ST,J ST,SB,477,657,12/14/2006
N ST,24TH ST,EB,477,672,10/25/1993
CAPITOL MALL,FRONT ST,WB,477,1076,02/17/2015
9TH ST,V ST,SB,477,1200,10/01/2008
CAMPUS COMMONS RD,UNIVERSITY AV,SB,476,382,09/22/2011
C ST,35TH ST,EB/WB,476,395,04/25/1994
23RD ST,K ST,WB,476,423,09/20/2011
CAPITOL AV,17TH ST,EB/WB,476,543,06/15/1993
HAvNSIDE DR,SANTA TERESA WY,NB/SB,476,686,08/02/1995
H ST,42ND AV,EB,476,690,04/14/2011
FOLSOM BL,43RD ST,EB,476,882,04/29/2010
CAMELLIA AV,SANDBURG DR,NB/SB,476,1187,09/06/2002
FRANKLIN BL,MACK RD,SB,476,1245,05/01/2007
FRANKLIN BL,MACK RD,SB,476,1245,05/01/2007
EL CENTRO RD,DEL PASO BL,SB,475,340,03/11/2009
MAIN AV,NORWOOD AV,WB,475,399,10/03/2007
59TH ST,FOLSOM BL,SB,475,520,06/17/2009
MARYSVILLE BL,BELL AV,NB/SB,475,530,01/24/1994
LA MANCHA WY,SEYFERTH WY,NB/SB,475,571,02/03/1994
GROVE AV,EL CAMINO AV,NB/SB,475,603,07/18/1994
LEISURE LN,CANTERBURY RD,EB/WB,475,648,08/21/2002
GRAND AV,FELL ST,WB,474,350,05/18/2016
14TH AV,Btwn Abbey Rd and West Railroad Av,EB,474,444,01/16/2013
5TH ST,H ST,NB,474,459,11/14/2018
SAN JUAN RD,NORTHGATE BL,WB,474,486,06/12/2014
J ST,53RD ST,WB,474,549,06/09/2016
FRUITRIDGE RD,MARTIN LUTHER KING JR BL,SB,474,699,12/11/2002
POCKET RD,ALSTAN CT,NB,473,273,09/22/2015
COSUMNES RIVER BL,FRANKLIN BL,EB/WB,473,369,05/24/2016
SOUTH AV,CLAY ST,EB/WB,473,369,05/24/2016
DEL PASO BL,GLOBE AV,SB,473,400,08/24/2006
EL CAMINO AV,COLFAX ST,EB,473,594,01/09/2014
E ST,13TH ST,EB/WB,473,618,03/16/1994
K ST,18TH ST,EB/WB,473,620,12/14/2005
H ST,11TH ST,EB,473,812,08/16/2005
RIVERSIDE BL,LELANDHAVEN WY,SB,473,1231,10/04/1994
CREST DR,FENMORE AV,SB,472,235,08/11/2004
EAST COMMERCE WY,NORTH PARK DR,SB,472,236,03/20/2007
JESSIE AV,RIO LINDA BL,SB,472,299,06/07/2005
C ST,35TH ST,EB/WB,472,442,05/06/2003
J ST,44TH ST,WB,472,503,05/18/2011
K ST,25TH ST,WB,472,535,10/26/1993
FLORIN PERKINS RD,FOLSOM BL,EB,472,570,10/05/2016
CENTER PK,ALVERN WY,NB/SB,472,681,08/10/2005
47TH AV,VENTURA ST,WB,472,686,09/14/2006
5TH ST,U ST,NB,471,262,11/26/1996
FLORIN RD,RIVERSIDE BL,NB,471,297,10/18/2007
CENTER PK,LOORZ CT,NB,471,432,10/22/1997
L ST,approach to 23rd St,WB,471,460,09/25/2013
SPROULE AV,NORTH 16TH ST,EB/WB,471,572,07/21/1998
GROVE AV,NORWOOD BP,NB/SB,471,614,02/09/2006
24th St,Btwn Encinal Av & 43rd Av,SB,471,668,05/16/2012
MC ADOO AV,MESSINA DR,NB/SB,471,736,09/13/2002
MODDISON AV,BREUNER AV,EB/WB,471,1217,09/05/2002
BLACKROCK DR,IRONGATE WY,SB,470,184,10/27/2004
WINTERS ST,DOWNAR WY,NB,470,328,11/19/2015
BELL AV,GENE AV,EB/WB,470,477,09/01/1993
FREEPORT BL,MEADOWVIEW RD,NB/SB,470,511,01/31/2007
ALHAMBRA BL,F ST,NB/SB,470,551,09/25/1997
26TH ST,W ST,NB/SB,470,576,10/21/1992
SPROULE AV,NORTH 12TH ST,EB,470,590,06/02/1994
SUTTERVILLE RD,19TH ST,WB,470,681,11/01/2007
POCKET RD,LITTLE RIVER WY,NB,469,198,03/11/2003
POCKET RD,LITTLE RIVER WY,NB/SB,469,520,03/11/2003
GRAND AV,TAYLOR ST,EB/WB,469,522,10/15/2009
McKinley Bl,34th St & 35th St,EB/WB,469,554,07/26/2012
DEL PASO BL,ARDEN WY,WB,469,572,08/17/1993
S ST,59TH ST,EB/WB,469,610,12/12/1996
WEST EL CAMINO AV,NORTHGLEN ST,WB,469,660,03/16/2003
MESSINA DR,MONALEE AV,NB/SB,469,721,09/20/2002
F ST,14TH ST,EB/WB,469,745,10/25/1995
NOTRE DAME DR,FOLSOM BL,NB,468,442,10/05/2016
N ST,7TH ST,EB,468,576,04/12/1993
7TH ST,Btwn F ST & G ST,NB/SB,468,579,07/24/2013
7TH ST,F ST,SB,468,730,10/30/2001
VALLEY HI DR,WYNDHAM DR,SB,468,742,04/12/2007
I-5 SB RAMPS,RICHARDS BL,WB,468,970,05/20/2015
CAMELLIA AV,SANDBURG DR,NB/SB,468,1029,09/05/2002
CAMELLIA AV,SANDBURG DR,NB/SB,468,1029,09/07/2002
FRANKLIN BL,FRANCESCA ST,NB,467,425,01/07/1993
DEL PASO BL,HELENA AV,NB,467,688,03/04/2009
N ST,16TH ST,EB,467,807,05/17/1995
BROADWAY,53RD ST,EB,467,817,09/30/2015
MAIN AV,RIO LINDA BL,WB,466,187,06/17/2003
SOUTH LAND PARK DR,FRUITRIDGE RD,NB,466,459,07/21/1992
C ST,35TH ST,EB/WB,466,482,11/29/2007
RIO LINDA BL,GRANGER AV,NB/SB,466,570,07/27/1992
Q ST,19TH ST,EB,466,571,08/16/1993
N ST,19TH ST,EB,466,675,12/02/2004
J ST,44TH ST,EB,466,704,01/14/2014
X ST,24TH ST,EB,466,923,07/07/1993
5TH ST,L ST,NB,466,924,11/14/2018
X ST,26TH ST,EB,466,956,04/12/1995
44TH ST,8TH AV,NB/SB,466,1131,04/24/2002
HAvNSIDE DR,SANTA TERESA WY,EB,465,253,08/18/1993
ELVAS AV,F ST,NB,465,416,01/10/2019
MARYSVILLE BL,CLAIRE AV,NB/SB,465,507,01/24/1994
ELVAS AV,F ST,NB,465,545,08/25/2005
FRUITRIDGE RD,SOUTH LAND PARK DR,EB,465,590,06/18/2014
Q ST,19TH ST,EB,465,664,10/07/2009
EL CAMINO AV,RIO LINDA BL,WB,465,692,10/04/2007
BRDWAY,21ST ST,WB,465,804,08/21/2008
W ST,5TH ST,WB,465,2004,11/14/2018
RIVERSIDE BL,APPOLLO WY,NB,464,111,09/14/2006
I ST,26TH ST,EB,464,320,10/25/2016
K ST,23RD ST,WB,464,438,03/21/2012
CANTERBURY RD,MEDIA PL,NB/SB,464,486,11/10/1998
DEL PASO BL,TAFT ST,EB/WB,464,490,08/10/1993
5TH ST,X ST,NB,464,523,11/14/2018
K ST,26TH ST,WB,464,545,01/23/1996
GROVE AV,EL MONTE AV,NB/SB,464,626,07/18/1994
WEST EL CAMINO AV,NORTHGLEN ST,EB,464,641,04/21/2010
24TH ST,CASA LINDA DR,SB,464,673,09/27/2016
BRDWAY,50TH ST,EB,464,795,08/20/1997
2ND AV,ALHAMBRA BL,EB,463,220,08/03/1992
SOUTH LAND PARK DR,35TH AV,NB,463,297,04/17/2007
LA RIVIERA DR,LIDO CR,WB,463,300,05/09/2012
ROCKHAMPTON DR,KELSO CR,NB/SB,463,383,11/01/2001
29TH ST,UTAH AV,NB/SB,463,401,04/01/2009
FRUITRIDGE RD,SOUTH WATT AV,EB,463,640,04/12/2007
N ST,25TH ST,EB,463,698,10/14/1993
ERIN DR,WEST EL CAMINO AV,WB,463,730,04/12/2007
CAPITOL MALL,FRONT ST,WB,463,1081,02/19/2015
BRUCEVILLE RD,CENTER PKWY,SB,463,1187,02/23/2016
EHRHARDT AV,FRANKLIN BL,WB,462,129,04/10/2018
P ST,14TH ST,WB,462,371,10/21/2009
L ST,30TH ST,WB,462,419,04/14/1993
15TH ST,G ST,SB,462,430,09/10/1992
NORWOOD AV,LAMPASAS AV,NB/SB,462,515,10/05/1995
SOUTH LAND PARK DR,SUTTERVILLE RD,EB/WB,462,517,10/18/2007
N ST,ALHAMBRA BL,EB/WB,462,521,01/09/2001
ELDER CREEK RD,Btwn FLORIN PERKINS RD & SKY CREEK DR,WB,462,579,07/23/2013
FRANKLIN BL,COSUMNES RIVER BL,WB,462,658,03/04/2015
BROADWAY,2ND AV,SB,462,723,04/10/2018
HOWE AV,JULIESSE AV,NB/SB,462,825,10/23/1995
EICHLER ST,47TH AV,NB,4,6,05/19/2009
FRANKLIN BL,Btwn 6TH AV & MONTGOMERY WY,NB,461,277,07/23/2013
VALLEY HI DR,WEOTT CT,EB,461,347,05/21/2003
CALVINE RD,SUNNY LAKE WY,EB/WB,461,397,03/06/1998
CALVINE RD,SUNTRAIL CR,EB/WB,461,410,01/21/1998
VALLEY GREEN DR,VALLEY HI DR,EB,461,462,04/19/2016
VALLEY HI DR,MEADOW PARK WY,EB,461,462,04/19/2016
CENTER PKWY,MIDDLEBROOK WY,SB,461,487,11/17/2015
ALHAMBRA BL,E ST,NB/SB,461,531,04/20/1993
9TH ST,K ST,SB,461,557,04/17/1997
STOCKTON BL,VICTORY AV,NB,461,649,08/10/2005
BRDWAY,SAN DIEGO WY,WB,461,719,10/25/2007
FRUITRIDGE RD,24TH ST,SB,461,722,02/10/2015
3RD AV,RIVERSIDE BL,EB/WB,4,10,02/06/2007
H ST,5TH ST,EB,460,275,12/17/2019
61ST ST,RAYMOND WY,NB/SB,460,367,11/14/2001
JACKSON RD,FOLSOM BL,WB,460,371,09/22/2011
K ST,25TH ST,WB,460,551,02/16/1995
DUCKHORN DR,GOLDEN LIGHT LN,NB/SB,460,566,05/18/2011
WEST EL CAMINO AV,NORTHGATE BL,EB,460,682,10/04/2007
BROADWAY,19TH ST,WB,460,818,02/12/2020
ELKHORN BL,NATOMAS BL,EB,460,1091,06/07/2005
G ST,15TH ST,EB/WB,459,329,11/04/1999
9TH ST,I ST,SB,459,469,11/19/1992
J ST,29TH ST,SB,459,470,12/04/2002
DEL PASO BL,EL CAMINO AV,EB,459,668,10/04/2007
Q ST,19TH ST,EB,459,907,12/02/2004
SERENATA WY,GETCHELL CT,NB,4,6,03/16/2010
DEL PASO BL,FAIRFIELD ST,SB,458,434,03/04/2009
C ST,SAN ANTONIO WY,EB/WB,458,533,10/31/1995
NORWOOD AV,LINDLEY DR,SB,458,550,05/27/2009
SAN JUAN RD,NORTHGATE BL,EB,458,712,06/12/2014
CENTER PK,SAINT LUKES WY,SB,458,1085,04/23/1995
MARYSVILLE BL,HURON ST,NB,3,3,06/11/2008
SOUTH AV,BRANCH ST,EB/WB,457,392,01/21/1998
LA RIVIERA DR,MATERGLEN DR,WB,457,400,02/01/1995
LEMON HILL AV,STOCKTON BL,WB,457,429,04/18/2002
K ST,22ND ST,WB,457,483,08/06/2002
ELVAS AV,F ST,NB,457,487,12/13/2005
K ST,24TH ST,WB,457,607,12/19/1994
CHESTNUT HILL DR,CITADEL WY,NB/SB,457,683,10/10/2002
5TH ST,W ST,NB,457,878,11/14/2018
D ST,10TH ST,WB,456,121,04/02/2002
CENTER PK,EHRHARDT AV,NB,456,354,06/14/2007
Q ST,19TH ST,EB,456,586,04/03/1997
NORWOOD AV,FORD RD,SB,456,594,04/10/2007
BROADWAY,55TH ST,EB,456,730,05/21/2015
DEL PASO RD,GATEWAY PARK BL,NB,456,985,04/12/2016
FREEPORT BL,MARKHAM WY,SB,456,1024,02/10/2011
5TH ST,S ST,NB,455,328,11/14/2018
I ST,25TH ST,EB/WB,455,417,10/27/1998
BELL AV,PINELL ST,EB/WB,455,425,04/26/1993
5TH ST,MCCLATCHY WY,NB/SB,455,442,03/18/2010
