STREETA,STREETB,DIRECTION,AM_PEAKVOL,PM_PEAKVOL,DATE
65TH ST,4TH AV,NB/SB,2919,3083,07/14/1999
HOWE AV,FAIR OAKS BL,NB/SB,2915,3575,10/01/1998
CARLSON DR,LOVELLA WY,NB/SB,2896,5203,09/13/2002
Q ST,3RD ST,EB,2891,955,03/14/2002
ARDEN WY,CHALLENGE WY,EB,2882,4076,11/12/2006
ARDEN WY,CHALLENGE WY,WB,2882,4076,11/12/2006
ARDEN WY,CHALLENGE WY,EB/WB,2882,4076,11/12/2006
FLORIN RD,RT 99,EB,2871,3120,09/17/2008
Q ST,3RD ST,EB,2867,909,06/01/1993
SOUTH WATT AV,FOLSOM BL,NB/SB,2850,3177,02/13/2006
WATT AV,MANLOVE RD,NB/SB,2835,2908,06/22/1995
Q ST,2ND ST,EB,2827,791,02/27/1996
HOWE AV,UNIVERSITY AV,NB/SB,2823,3437,06/10/2009
43RD AV,RT 5 NBOFF R,EB/WB,2819,1659,09/21/1993
EL CAMINO AV,RT 80 EBON R,EB/WB,2819,3405,01/14/1998
Q ST,4TH ST,EB,2812,936,01/14/1999
NORTH 12TH ST,RICHARDS BL,SB,2808,1827,06/14/1994
MEADOWVIEW RD,TISDALE WY,EB/WB,2798,2991,03/05/2004
J ST,5TH ST,EB,2796,1059,11/14/2018
AUBURN BL,WATT AV,EB/WB,2784,3092,07/05/1995
MACK RD,VALLEY HI DR,EB/WB,2783,3544,02/03/1994
J ST,3RD ST,EB,2773,2052,04/05/1993
ARDEN WY,BLUMENFELD DR,EB,2770,2700,08/29/1990
POWER INN RD,14TH AV,NB/SB,2767,2904,10/25/2007
NORTH 12TH ST,RICHARDS BL,SB,2765,1824,07/30/1992
EL CAMINO AV,CONNIE DR,EB/WB,2764,3382,01/13/1998
NORTHGATE BL,NORTH MARKET BL,NB/SB,2758,2697,02/13/1998
FLORIN RD,GREENHAVEN DR,EB/WB,2755,3129,10/25/1994
EHRHARDT AV,LOCKBORNE DR,EB/WB,2745,419,08/27/1992
Q ST,2ND ST,EB,2745,782,06/28/1994
65TH ST,4TH AV,NB/SB,2738,2733,01/04/1994
FOLSOM BL,JACKSON RD,EB/WB,2727,3031,02/05/2003
FAIR OAKS BL,CAMPUS COMMONS RD,EB/WB,2699,3116,01/22/1997
FAIR OAKS BL,UNIVERSITY AV,EB/WB,2698,3160,08/25/1993
AUBURN BL,WINDING WY,EB/WB,2689,2749,06/28/1995
CARLSON DR,LOVELLA WY,NB/SB,2676,4944,09/12/2002
J ST,4TH ST,EB,2665,1658,11/09/1992
J ST,CARLSON DR,NB/SB,2660,3592,12/05/1996
HOWE AV,LA RIVIERA DR,NB,2659,3107,09/26/2007
FLORIN RD,RT 99,WB,2651,2882,09/18/2008
MACK RD,ALTA VALLEY DR,EB/WB,2630,3037,04/28/2012
NORTH 12TH ST,SUNBEAM AV,NB/SB,2620,1607,03/19/1996
POWER INN RD,CUCAMONGA AV,NB/SB,2617,2813,12/02/1993
J ST,3RD ST,EB,2612,1796,03/16/1994
NORTHGATE BL,NORTH MARKET BL,NB/SB,2612,2691,08/18/1993
RANCHO GRANDE WY,CASA DEL ESTE WY,NB,4,7,01/20/2009
FLORIN RD,FREEPORT BL,EB/WB,2600,2680,09/13/2007
EL CAMINO AV,ALBATROSS WY,EB/WB,2600,3123,09/12/2007
TRUXEL RD,GATEWAY PARK BL,NB,2591,2615,05/03/2007
EL CAMINO AV,ALBATROSS WY,EB/WB,2588,3107,09/08/1994
T ST,,EB/WB,2576,2392,01/10/2002
TRUXEL RD,RT 80,NB/SB,2572,3100,10/04/2007
65TH ST,4TH AV,NB/SB,2569,2545,01/04/1994
POWER INN RD,RAMONA AV,NB/SB,2569,2753,02/05/2003
ARDEN WY,HARVARD ST,EB/WB,2556,2962,10/03/2007
FLORIN RD,FRANKLIN BL,EB/WB,2552,3060,02/17/1999
FRANKLIN BL,WHISPER WOOD WY,NB/SB,2551,2544,02/03/2005
39TH ST,S ST,NB/SB,2532,2924,01/10/2002
FOLSOM BL,BICENTENNIAL CR,EB/WB,2528,2933,08/19/1999
NATOMAS BL,PARKWAY PLAZA DRWY,NB/SB,2521,2434,01/29/2014
STOCKTON BL,QUINTA CT,NB/SB,2515,3366,02/03/2005
J ST,5TH ST,EB,2504,1799,10/28/2010
LAWERENCE DR,48TH ST,EB/WB,2502,154,07/09/1992
HOWE AV,AMERICAN RIVER DR,NB/SB,2499,3218,11/19/1993
HOWE AV,LA RIVERA DR,NB/SB,2492,2839,03/16/2003
FLORIN RD,INDIAN LN,EB/WB,2489,2999,12/08/2005
POWER INN RD,RAMONA AV,NB/SB,2486,2625,12/02/1993
RICHARDS BL,BERCUT DR,EB/WB,2483,2811,09/29/1998
SOUTH WATT AV,FOLSOM BL,NB/SB,2480,2572,02/11/2006
ARDEN WY,RT 80 SBOFF R,EB/WB,2467,2786,09/24/1998
FLORIN RD,HISPERRY LN,EB/WB,2465,2890,11/01/2007
NORTH 12TH ST,SITKA ST,NB/SB,2462,1658,04/13/1993
BUSINESS 80,EL CAMINO AV,NB,2451,1228,05/24/2017
FLORIN PERKINS RD,JACKSON RD,NB/SB,2450,2182,07/15/1999
FLORIN PERKINS RD,24TH AV,NB/SB,2432,2110,04/12/2007
FLORIN PERKINS RD,ELDER CREEK RD,NB/SB,2432,2234,10/24/2002
FLORIN RD,RT 5,EB,2428,1921,09/16/2008
65TH ST,4TH AV,NB/SB,2420,2619,02/03/2005
COLLEGE TOWN DR,JED SMITH DR,WB,2419,1129,01/30/1997
NORTH 12TH ST,SUNBEAM AV,SB,2418,1601,06/14/1994
MACK RD,SAMOS WY,EB/WB,2417,2660,09/13/2007
Power Inn RD,Btwn Fruitridge Rd and 21 Av.,NB/SB,2414,2604,01/23/2013
HOWE AV,SWARTHMORE DR,NB,2409,2697,09/26/2007
ARDEN WY,HERITAGE LN,EB,2401,2523,06/03/1992
TRUXEL RD,RT 80,NB/SB,2395,2823,05/01/2003
COLLEGE TOWN DR,JED SMITH DR,EB/WB,2390,2246,02/12/1992
WATT AV,RT 50 EBON R,SB,2389,2455,03/21/2001
HOWE AV,LA RIVIERA DR,SB,2389,2908,09/16/2007
SUTTERVILLE RD,24TH ST,EB/WB,2388,2102,09/05/1995
CENTER PK,UNION HOUSE WY,NB/SB,2387,1707,09/13/2007
EXPOSITION BL,RT 80B,EB/WB,2383,3066,10/03/2007
MACK RD,TANGERINE AV,EB/WB,2383,3237,11/01/2007
NATOMAS BL,NORTH PARK DR,NB/SB,2375,2095,01/26/2005
HOWE AV,LA RIVIERA DR,NB,2372,2726,11/16/1993
EXPOSITION BL,HERITAGE LN,EB/WB,2371,2660,05/03/2001
J ST,6TH ST,EB,2370,1823,05/16/2001
FLORIN RD,29TH ST,EB/WB,2369,2859,08/30/1995
