Month/Year,PERMIT_TYPE,REVENUE_TRIP_COUNT,AIRPORT_REVENUE
03/01/2019 12:00:00 AM,Compliant Parking,19454,70034.40
03/01/2019 12:00:00 AM,Door to Door Pre-arranged,689,2480.40
03/01/2019 12:00:00 AM,Hotel Parking Shuttle,26084,93902.40
03/01/2019 12:00:00 AM,Limousine,68166,340830.00
03/01/2019 12:00:00 AM,NonConsolidated Hotel,939,10141.20
03/01/2019 12:00:00 AM,Scheduled,4653,16750.80
03/01/2019 12:00:00 AM,Taxi,85720,428600.00
03/01/2019 12:00:00 AM,TNC Drop Off Trip Fee,499490,2497450.00
03/01/2019 12:00:00 AM,TNC Remote Drop Off Trip Fee,18382,36764.00
03/01/2019 12:00:00 AM,TNC Pick Up Trip Fee,385805,1929025.00
03/01/2019 12:00:00 AM,TNC Remote Pick Up Trip Fee,60764,121528.00
03/01/2019 12:00:00 AM,CHARTER,4550,16380.00
03/01/2019 12:00:00 AM,Consolidated Hotel,26084,93902.40
03/01/2019 12:00:00 AM,Shared Ride,8947,0.00
04/01/2019 12:00:00 AM,Charter,5413,19486.80
04/01/2019 12:00:00 AM,Commercial Other,54,194.40
04/01/2019 12:00:00 AM,Compliant Parking,19634,70682.40
04/01/2019 12:00:00 AM,Door to Door Pre-arranged,664,2390.40
04/01/2019 12:00:00 AM,Hotel Parking Shuttle,25486,91749.60
04/01/2019 12:00:00 AM,Limousine,66286,331430.00
04/01/2019 12:00:00 AM,NonConsolidated Hotel,586,6328.80
04/01/2019 12:00:00 AM,Scheduled,4525,16290.00
04/01/2019 12:00:00 AM,Taxi,84952,424760.00
04/01/2019 12:00:00 AM,TNC Drop Off Trip Fee,476209,2381045.00
04/01/2019 12:00:00 AM,TNC Remote Drop Off Trip Fee,16873,33746.00
04/01/2019 12:00:00 AM,TNC Pick Up Trip Fee,377483,1887415.00
04/01/2019 12:00:00 AM,TNC Remote Pick Up Trip Fee,68546,137092.00
04/01/2019 12:00:00 AM,CHARTER,5413,19486.80
04/01/2019 12:00:00 AM,Consolidated Hotel,25486,91749.60
04/01/2019 12:00:00 AM,Shared Ride,10051,0.00
05/01/2019 12:00:00 AM,Charter,5707,20545.20
05/01/2019 12:00:00 AM,Commercial Other,65,234.00
05/01/2019 12:00:00 AM,Compliant Parking,19782,71215.20
05/01/2019 12:00:00 AM,Door to Door Pre-arranged,701,2523.60
05/01/2019 12:00:00 AM,Hotel Parking Shuttle,25893,93214.80
05/01/2019 12:00:00 AM,Limousine,72799,363995.00
05/01/2019 12:00:00 AM,NonConsolidated Hotel,354,3823.20
05/01/2019 12:00:00 AM,Scheduled,4597,16549.20
05/01/2019 12:00:00 AM,Taxi,92951,464755.00
05/01/2019 12:00:00 AM,TNC Drop Off Trip Fee,551027,2755135.00
05/01/2019 12:00:00 AM,TNC Remote Drop Off Trip Fee,18512,37024.00
05/01/2019 12:00:00 AM,TNC Pick Up Trip Fee,408750,2043750.00
05/01/2019 12:00:00 AM,TNC Remote Pick Up Trip Fee,80715,161430.00
05/01/2019 12:00:00 AM,CHARTER,5707,20545.20
05/01/2019 12:00:00 AM,Consolidated Hotel,25893,93214.80
05/01/2019 12:00:00 AM,Shared Ride,11075,0.00
06/01/2019 12:00:00 AM,Charter,6223,22402.80
06/01/2019 12:00:00 AM,Commercial Other,60,216.00
06/01/2019 12:00:00 AM,Compliant Parking,19655,70758.00
06/01/2019 12:00:00 AM,Door to Door Pre-arranged,697,2509.20
06/01/2019 12:00:00 AM,Hotel Parking Shuttle,25107,90385.20
06/01/2019 12:00:00 AM,Limousine,73797,368985.00
06/01/2019 12:00:00 AM,NonConsolidated Hotel,357,3855.60
06/01/2019 12:00:00 AM,Scheduled,4664,16790.40
06/01/2019 12:00:00 AM,Taxi,98746,493730.00
06/01/2019 12:00:00 AM,TNC Drop Off Trip Fee,509912,2549560.00
06/01/2019 12:00:00 AM,TNC Remote Drop Off Trip Fee,25992,51984.00
06/01/2019 12:00:00 AM,TNC Pick Up Trip Fee,206170,1029440.00
06/01/2019 12:00:00 AM,TNC Remote Pick Up Trip Fee,246573,493146.00
06/01/2019 12:00:00 AM,CHARTER,6223,22402.80
06/01/2019 12:00:00 AM,Consolidated Hotel,25107,90385.20
06/01/2019 12:00:00 AM,Shared Ride,11314,0.00
07/01/2019 12:00:00 AM,Charter,6299,22676.40
07/01/2019 12:00:00 AM,Commercial Other,49,176.40
07/01/2019 12:00:00 AM,Compliant Parking,20343,73234.80
07/01/2019 12:00:00 AM,Door to Door Pre-arranged,776,2793.60
07/01/2019 12:00:00 AM,Hotel Parking Shuttle,25926,93333.60
07/01/2019 12:00:00 AM,Limousine,64473,290128.50
07/01/2019 12:00:00 AM,NonConsolidated Hotel,356,3844.80
07/01/2019 12:00:00 AM,Scheduled,4889,17600.40
07/01/2019 12:00:00 AM,Taxi,91251,410630.00
07/01/2019 12:00:00 AM,TNC Drop Off Trip Fee,501392,2256264.00
07/01/2019 12:00:00 AM,TNC Pick Up Trip Fee,460090,2070405.00
07/01/2019 12:00:00 AM,CHARTER,6299,22676.40
07/01/2019 12:00:00 AM,Shared Ride,12340,0.00
08/01/2019 12:00:00 AM,Charter,5877,21157.20
08/01/2019 12:00:00 AM,Commercial Other,62,223.20
08/01/2019 12:00:00 AM,Compliant Parking,20124,72446.40
08/01/2019 12:00:00 AM,Door to Door Pre-arranged,748,2692.80
08/01/2019 12:00:00 AM,Hotel Parking Shuttle,25644,92318.40
08/01/2019 12:00:00 AM,Limousine,65090,292905.00
08/01/2019 12:00:00 AM,NonConsolidated Hotel,304,3283.20
08/01/2019 12:00:00 AM,Scheduled,4801,17283.60
08/01/2019 12:00:00 AM,Taxi,95684,430578.00
08/01/2019 12:00:00 AM,TNC Drop Off Trip Fee,553514,2490813.00
08/01/2019 12:00:00 AM,TNC Pick Up Trip Fee,470303,2116363.50
08/01/2019 12:00:00 AM,CHARTER,5877,21157.20
08/01/2019 12:00:00 AM,Consolidated Hotel,25644,92318.40
08/01/2019 12:00:00 AM,Shared Ride,11664,0.00
09/01/2019 12:00:00 AM,Charter,5420,19512.00
09/01/2019 12:00:00 AM,Commercial Other,54,194.40
09/01/2019 12:00:00 AM,Compliant Parking,19607,70585.20
09/01/2019 12:00:00 AM,Door to Door Pre-arranged,668,2404.80
09/01/2019 12:00:00 AM,Hotel Parking Shuttle,25142,90511.20
09/01/2019 12:00:00 AM,Limousine,65500,294750.00
09/01/2019 12:00:00 AM,NonConsolidated Hotel,311,3358.80
09/01/2019 12:00:00 AM,Scheduled,4449,16016.40
09/01/2019 12:00:00 AM,Taxi,95065,427793.00
09/01/2019 12:00:00 AM,CHARTER,5420,19512.00
09/01/2019 12:00:00 AM,Consolidated Hotel,25142,90511.20
09/01/2019 12:00:00 AM,Shared Ride,10267,0.00
